Acc, 78.037, -2.63, 3.54, 9.29
Gyr, 78.041, -0.11, 0.05, -0.02
Gyr, 78.045, -0.15, 0.07, -0.01
Acc, 78.049, -2.63, 3.54, 9.29
Gyr, 78.059, -0.07, 0.03, -0.02
Gyr, 78.063, -0.03, 0.01, -0.04
Acc, 78.066, -2.06, 3.76, 9.28
Gyr, 78.070, -0.03, 0.02, -0.03
Gyr, 78.075, -0.04, 0.05, -0.03
Acc, 78.080, -2.30, 3.48, 9.39
Gyr, 78.085, -0.05, 0.05, -0.04
Gyr, 78.088, -0.03, 0.05, -0.05
Acc, 78.098, -2.73, 3.30, 9.27
Gyr, 78.103, -0.02, 0.04, -0.06
Gyr, 78.108, -0.04, 0.03, -0.06
Gyr, 78.112, -0.08, 0.02, -0.06
Acc, 78.118, -2.78, 3.41, 8.82
Gyr, 78.122, -0.11, 0.02, -0.07
Gyr, 78.129, -0.11, 0.02, -0.07
Acc, 78.131, -2.86, 3.61, 8.76
Gyr, 78.135, -0.09, 0.00, -0.07
Gyr, 78.177, -0.08, -0.01, -0.07
Acc, 78.182, -2.88, 3.01, 8.85
Gyr, 78.186, -0.06, -0.01, -0.07
Gyr, 78.190, -0.06, -0.01, -0.07
Acc, 78.194, -2.86, 2.92, 9.01
Gyr, 78.197, -0.06, -0.01, -0.07
Gyr, 78.200, -0.07, -0.02, -0.07
Acc, 78.203, -2.68, 2.91, 9.22
Gyr, 78.206, -0.12, -0.02, -0.07
Gyr, 78.210, -0.18, -0.02, -0.07
Acc, 78.214, -2.61, 3.11, 9.04
Gyr, 78.217, -0.25, -0.01, -0.07
Gyr, 78.229, -0.28, 0.00, -0.07
Acc, 78.233, -2.57, 3.40, 8.60
Gyr, 78.237, -0.27, 0.00, -0.08
Gyr, 78.239, -0.24, -0.01, -0.08
Acc, 78.243, -2.57, 3.40, 8.60
Gyr, 78.246, -0.22, -0.02, -0.09
Gyr, 78.249, -0.22, -0.03, -0.09
Acc, 78.264, -2.57, 3.40, 8.60
Gyr, 78.268, -0.25, -0.03, -0.10
Gyr, 78.272, -0.29, -0.04, -0.10
Acc, 78.276, -2.57, 3.40, 8.60
Gyr, 78.281, -0.33, -0.05, -0.10
Gyr, 78.284, -0.34, -0.07, -0.10
Acc, 78.296, -2.39, 2.99, 8.85
Gyr, 78.300, -0.36, -0.09, -0.10
Gyr, 78.316, -0.37, -0.10, -0.11
Acc, 78.321, -2.44, 3.18, 8.85
Gyr, 78.325, -0.37, -0.10, -0.11
Gyr, 78.329, -0.35, -0.11, -0.11
Acc, 78.332, -2.75, 3.06, 8.50
Gyr, 78.335, -0.27, -0.12, -0.12
Gyr, 78.345, -0.18, -0.14, -0.12
Acc, 78.349, -2.45, 2.09, 9.19
Gyr, 78.364, -0.12, -0.16, -0.14
Gyr, 78.367, -0.12, -0.18, -0.15
Acc, 78.381, -2.77, 1.93, 8.85
Gyr, 78.386, -0.19, -0.18, -0.15
Gyr, 78.390, -0.29, -0.18, -0.15
Acc, 78.399, -2.87, 3.02, 8.65
