Gyr, 60.522, -0.06, 0.05, -0.05
Acc, 60.538, -0.87, 6.72, 9.00
Gyr, 60.542, -0.08, 0.05, -0.05
Gyr, 60.547, -0.10, 0.06, -0.07
Acc, 60.549, -0.84, 6.75, 8.83
Gyr, 60.552, -0.11, 0.06, -0.07
Gyr, 60.555, -0.11, 0.06, -0.08
Acc, 60.571, -1.00, 6.74, 8.59
Gyr, 60.575, -0.11, 0.05, -0.09
Gyr, 60.579, -0.11, 0.05, -0.11
Acc, 60.584, -1.10, 6.53, 8.63
Gyr, 60.588, -0.12, 0.05, -0.11
Gyr, 60.621, -0.13, 0.04, -0.12
Acc, 60.631, -1.07, 6.65, 8.65
Gyr, 60.639, -0.13, 0.03, -0.13
Gyr, 60.643, -0.13, 0.02, -0.14
Acc, 60.646, -1.07, 6.65, 8.65
Gyr, 60.650, -0.15, 0.01, -0.15
Gyr, 60.654, -0.16, 0.00, -0.15
Acc, 60.657, -1.07, 6.65, 8.65
Gyr, 60.660, -0.18, -0.00, -0.16
Gyr, 60.665, -0.21, -0.01, -0.16
Acc, 60.669, -1.07, 6.65, 8.65
Gyr, 60.672, -0.21, -0.00, -0.16
Gyr, 60.677, -0.18, -0.01, -0.16
Acc, 60.692, -1.07, 6.65, 8.65
Gyr, 60.697, -0.13, -0.02, -0.16
Gyr, 60.706, -0.09, -0.03, -0.16
Acc, 60.710, -1.02, 6.44, 8.49
Gyr, 60.715, -0.08, -0.04, -0.15
Gyr, 60.720, -0.08, -0.05, -0.14
Acc, 60.724, -1.08, 5.71, 8.87
Gyr, 60.728, -0.10, -0.05, -0.14
Gyr, 60.732, -0.14, -0.06, -0.13
Acc, 60.735, -1.08, 5.71, 8.87
Gyr, 60.739, -0.16, -0.07, -0.11
Gyr, 60.743, -0.18, -0.07, -0.11
Acc, 60.747, -1.08, 5.71, 8.87
Gyr, 60.751, -0.20, -0.07, -0.11
Gyr, 60.755, -0.21, -0.07, -0.11
Acc, 60.770, -1.08, 5.71, 8.87
Gyr, 60.778, -0.20, -0.07, -0.11
Gyr, 60.795, -0.19, -0.08, -0.12
Acc, 60.801, -1.39, 5.77, 9.04
Gyr, 60.806, -0.20, -0.08, -0.13
Gyr, 60.810, -0.24, -0.07, -0.15
Acc, 60.814, -1.33, 6.16, 9.01
Gyr, 60.819, -0.29, -0.06, -0.17
Gyr, 60.824, -0.34, -0.05, -0.21
Gyr, 60.837, -0.40, -0.05, -0.25
Acc, 60.846, -1.27, 6.68, 8.70
Gyr, 60.850, -0.48, -0.05, -0.30
Gyr, 60.861, -0.58, -0.05, -0.35
Acc, 60.865, -1.18, 7.19, 8.36
Gyr, 60.880, -0.68, -0.05, -0.39
Gyr, 60.885, -0.76, -0.05, -0.43
Acc, 60.891, -1.05, 7.63, 7.70
Gyr, 60.908, -0.79, -0.05, -0.47
Gyr, 60.912, -0.75, -0.05, -0.51
Acc, 60.915, -1.18, 7.74, 7.27
Gyr, 60.920, -0.65, -0.05, -0.55
Gyr, 60.926, -0.53, -0.06, -0.58
Acc, 60.929, -0.80, 6.51, 7.93
Gyr, 60.933, -0.43, -0.07, -0.57
Gyr, 60.937, -0.38, -0.07, -0.56
Acc, 60.941, -0.40, 5.43, 9.22
Gyr, 60.945, -0.42, -0.08, -0.54
Gyr, 60.956, -0.56, -0.10, -0.51
Acc, 60.965, -0.34, 4.56, 10.01
Gyr, 60.971, -0.79, -0.10, -0.47
Gyr, 60.975, -1.07, -0.08, -0.40
Acc, 60.984, -0.62, 5.32, 9.84
Gyr, 61.000, -1.30, -0.05, -0.31
Gyr, 61.005, -1.38, -0.02, -0.22
Acc, 61.009, -0.50, 5.43, 9.45
Gyr, 61.013, -1.27, -0.03, -0.17
Gyr, 61.025, -1.03, -0.06, -0.16
Acc, 61.033, -1.57, 0.65, 10.68
Gyr, 61.063, -0.79, -0.10, -0.14
