Gyr, 3.976, 0.01, -0.02, -0.04
Gyr, 3.979, 0.02, -0.01, -0.05
Acc, 3.982, -0.32, 4.10, 8.85
Gyr, 3.986, 0.00, 0.00, -0.05
Gyr, 3.991, -0.01, 0.02, -0.06
Acc, 3.996, 0.21, 4.44, 9.26
Gyr, 4.000, -0.02, 0.02, -0.07
Gyr, 4.004, -0.02, 0.03, -0.09
Gyr, 4.008, -0.04, 0.05, -0.10
Acc, 4.011, 0.21, 4.44, 9.26
Gyr, 4.014, -0.05, 0.06, -0.10
Gyr, 4.017, -0.05, 0.07, -0.11
Acc, 4.021, 0.21, 4.44, 9.26
Gyr, 4.025, -0.05, 0.06, -0.12
Gyr, 4.028, -0.04, 0.06, -0.13
Acc, 4.033, 0.21, 4.44, 9.26
Gyr, 4.036, -0.04, 0.07, -0.15
Gyr, 4.039, -0.05, 0.07, -0.15
Acc, 4.043, 0.10, 4.43, 9.35
Gyr, 4.046, -0.06, 0.08, -0.16
Gyr, 4.049, -0.07, 0.08, -0.16
Acc, 4.052, -0.10, 4.07, 8.94
Gyr, 4.056, -0.05, 0.08, -0.15
Gyr, 4.108, -0.05, 0.08, -0.15
Acc, 4.111, -0.07, 3.98, 9.00
Gyr, 4.146, -0.06, 0.08, -0.14
Gyr, 4.149, -0.07, 0.07, -0.14
Acc, 4.152, -0.17, 3.63, 8.98
Gyr, 4.156, -0.08, 0.07, -0.13
Gyr, 4.163, -0.07, 0.06, -0.12
Acc, 4.166, -0.37, 3.83, 8.80
Gyr, 4.170, -0.06, 0.05, -0.11
Gyr, 4.173, -0.03, 0.04, -0.10
Acc, 4.176, -0.51, 3.60, 8.82
Gyr, 4.179, -0.00, 0.03, -0.09
Gyr, 4.185, 0.02, 0.02, -0.07
Acc, 4.189, -0.57, 3.48, 8.98
Gyr, 4.194, 0.04, 0.01, -0.05
Gyr, 4.198, 0.04, 0.01, -0.03
Acc, 4.202, -0.53, 3.24, 9.19
Gyr, 4.235, 0.03, 0.01, -0.02
Gyr, 4.243, 0.02, 0.00, -0.01
Acc, 4.261, -0.46, 3.24, 9.14
Gyr, 4.265, 0.00, -0.01, 0.01
Gyr, 4.270, -0.02, -0.00, 0.02
Acc, 4.274, -0.46, 3.24, 9.14
