Gyr, 16.126, -0.06, 0.03, 0.00
Acc, 16.131, -1.99, 3.19, 9.38
Gyr, 16.135, -0.03, -0.01, -0.03
Gyr, 16.145, -0.01, -0.01, -0.04
Acc, 16.150, -0.89, 2.71, 9.75
Gyr, 16.154, -0.03, 0.01, -0.02
Gyr, 16.157, -0.05, 0.03, -0.01
Acc, 16.160, -2.47, 2.55, 9.27
Gyr, 16.163, -0.02, 0.02, -0.02
Gyr, 16.167, 0.01, 0.01, -0.03
Acc, 16.182, -1.33, 2.58, 9.55
Gyr, 16.186, 0.02, 0.01, -0.04
Gyr, 16.190, -0.01, 0.02, -0.04
Acc, 16.193, -1.12, 2.60, 9.41
Gyr, 16.197, -0.05, 0.02, -0.04
Gyr, 16.216, -0.08, 0.02, -0.05
Acc, 16.221, -1.12, 2.60, 9.41
Gyr, 16.251, -0.10, 0.01, -0.05
Gyr, 16.256, -0.10, 0.01, -0.06
Acc, 16.261, -1.12, 2.60, 9.41
Gyr, 16.266, -0.09, -0.00, -0.06
Gyr, 16.270, -0.07, -0.01, -0.07
Acc, 16.274, -1.12, 2.60, 9.41
Gyr, 16.279, -0.06, -0.02, -0.08
Gyr, 16.285, -0.06, -0.03, -0.10
Acc, 16.303, -1.28, 3.01, 9.08
Gyr, 16.317, -0.07, -0.04, -0.10
Gyr, 16.324, -0.09, -0.04, -0.11
Acc, 16.337, -1.15, 2.88, 9.03
Gyr, 16.349, -0.12, -0.05, -0.11
Gyr, 16.355, -0.15, -0.05, -0.12
Acc, 16.359, -1.15, 2.92, 8.89
Gyr, 16.363, -0.16, -0.05, -0.12
Gyr, 16.369, -0.15, -0.06, -0.12
Acc, 16.373, -1.20, 2.85, 8.92
Gyr, 16.377, -0.11, -0.07, -0.13
Gyr, 16.402, -0.06, -0.08, -0.14
Acc, 16.417, -1.18, 2.43, 9.19
Gyr, 16.425, -0.02, -0.10, -0.15
Gyr, 16.430, -0.00, -0.11, -0.15
Gyr, 16.432, -0.01, -0.12, -0.15
Acc, 16.436, -1.31, 2.30, 9.30
Gyr, 16.438, -0.03, -0.12, -0.14
Gyr, 16.440, -0.08, -0.12, -0.13
Acc, 16.443, -1.19, 2.36, 9.38
Gyr, 16.446, -0.14, -0.11, -0.13
Gyr, 16.450, -0.17, -0.11, -0.13
Acc, 16.454, -1.21, 2.62, 9.29
Gyr, 16.458, -0.19, -0.12, -0.13
Gyr, 16.468, -0.20, -0.12, -0.13
Acc, 16.476, -1.35, 2.54, 9.23
Gyr, 16.496, -0.18, -0.12, -0.14
Gyr, 16.500, -0.13, -0.13, -0.14
Acc, 16.505, -1.53, 2.16, 9.26
Gyr, 16.510, -0.10, -0.13, -0.15
Gyr, 16.514, -0.10, -0.12, -0.14
Acc, 16.517, -1.35, 1.69, 9.73
Gyr, 16.520, -0.13, -0.11, -0.13
Gyr, 16.523, -0.16, -0.09, -0.13
Acc, 16.527, -1.24, 1.82, 9.90
Gyr, 16.531, -0.16, -0.08, -0.13
Gyr, 16.538, -0.12, -0.07, -0.13
Acc, 16.542, -1.01, 1.68, 9.73
Gyr, 16.545, -0.03, -0.07, -0.12
Gyr, 16.547, 0.11, -0.09, -0.12
Acc, 16.577, -0.86, 0.88, 10.19
Gyr, 16.591, 0.25, -0.10, -0.12
Gyr, 16.596, 0.32, -0.11, -0.11
Acc, 16.600, -0.45, 0.88, 10.53
Gyr, 16.604, 0.31, -0.10, -0.09
Gyr, 16.608, 0.23, -0.08, -0.08
Acc, 16.613, -0.45, 0.88, 10.53
Gyr, 16.616, 0.15, -0.07, -0.06
Gyr, 16.620, 0.08, -0.06, -0.05
Acc, 16.623, -0.20, 2.03, 10.09
Gyr, 16.626, 0.01, -0.07, -0.04
Gyr, 16.640, -0.07, -0.06, -0.03
Acc, 16.644, -0.74, 2.35, 9.64
Gyr, 16.649, -0.13, -0.06, -0.02
Gyr, 16.663, -0.15, -0.06, -0.01
Acc, 16.667, -0.83, 2.17, 9.78
Gyr, 16.674, -0.13, -0.05, 0.00
Gyr, 16.677, -0.08, -0.06, 0.01
Acc, 16.696, -1.09, 1.82, 9.69
Gyr, 16.701, -0.03, -0.07, 0.02
Gyr, 16.705, 0.01, -0.08, 0.03
Acc, 16.709, -1.09, 1.82, 9.69
Gyr, 16.714, 0.02, -0.08, 0.03
Gyr, 16.718, -0.00, -0.08, 0.03
Acc, 16.721, -1.09, 1.82, 9.69
Gyr, 16.724, -0.04, -0.07, 0.03
Gyr, 16.729, -0.08, -0.06, 0.02
Acc, 16.747, -1.09, 1.82, 9.69
Gyr, 16.752, -0.11, -0.06, 0.00
Gyr, 16.757, -0.14, -0.06, -0.02
Acc, 16.763, -1.09, 1.82, 9.69
Gyr, 16.766, -0.16, -0.06, -0.03
Gyr, 16.769, -0.18, -0.06, -0.04
Acc, 16.772, -1.11, 1.83, 9.53
Gyr, 16.777, -0.19, -0.06, -0.04
Gyr, 16.781, -0.20, -0.07, -0.04
Gyr, 16.786, -0.19, -0.07, -0.03
Acc, 16.789, -0.64, 2.26, 9.47
Gyr, 16.803, -0.19, -0.09, -0.03
Gyr, 16.810, -0.19, -0.10, -0.02
Acc, 16.814, -0.39, 1.73, 9.11
Gyr, 16.819, -0.21, -0.11, -0.02
Gyr, 16.822, -0.21, -0.11, -0.01
Acc, 16.836, -0.41, 1.96, 9.20
Gyr, 16.841, -0.20, -0.12, -0.01
Gyr, 16.845, -0.18, -0.14, -0.01
Acc, 16.849, -0.27, 1.72, 9.38
Gyr, 16.867, -0.17, -0.15, -0.01
Gyr, 16.873, -0.16, -0.17, -0.00
Acc, 16.877, -0.37, 1.84, 9.35
Gyr, 16.883, -0.16, -0.18, -0.00
Gyr, 16.901, -0.16, -0.20, 0.00
Acc, 16.906, -0.36, 1.86, 8.86
Gyr, 16.912, -0.18, -0.22, 0.00
Gyr, 16.916, -0.19, -0.23, -0.00
Acc, 16.919, -0.43, 1.99, 8.58
Gyr, 16.922, -0.23, -0.24, -0.01
Gyr, 16.926, -0.32, -0.24, -0.00
Acc, 16.928, -0.17, 2.05, 8.42
Gyr, 16.931, -0.43, -0.24, 0.01
Gyr, 16.948, -0.57, -0.26, 0.01
Acc, 16.956, 0.04, 2.09, 8.73
Gyr, 16.960, -0.77, -0.27, 0.03
Gyr, 16.964, -0.96, -0.29, 0.10
Acc, 16.968, 0.09, 3.41, 10.96
Gyr, 16.971, -0.92, -0.32, 0.13
Gyr, 16.981, -0.44, -0.41, 0.02
Acc, 16.986, -0.35, 0.38, 11.32
Gyr, 16.989, 0.03, -0.48, -0.09
Gyr, 16.992, -0.24, -0.42, -0.17
Acc, 16.998, 0.00, -1.76, 4.85
Gyr, 17.012, -0.69, -0.18, -0.05
Gyr, 17.017, -0.73, -0.04, 0.06
Acc, 17.024, 0.48, 8.62, 14.81
Gyr, 17.032, -0.62, 0.08, -0.12
Gyr, 17.043, -0.34, 0.13, -0.05
Acc, 17.047, 2.94, 1.08, 15.96
Gyr, 17.049, -0.00, 0.11, -0.02
Gyr, 17.059, 0.15, 0.11, -0.11
Acc, 17.070, -0.27, -2.37, 14.52
Gyr, 17.078, 0.17, 0.13, -0.03
Gyr, 17.083, 0.16, 0.14, 0.04
